"","gene","fitness","variance","d6toinput","normd7toinputA","normd6toinputA","norminput","normd6toinputB","normd6toinputC","normd6toinputD","day4abs","day5absmax","day6abs","lower","upper","input","file","experiment"
"55","PBANKA_113880",0.370509360804659,0.0116998166957461,0.0907826204225551,0.0164106886048912,0.0280231548727268,6.15270018621974,0.0809925279369087,0.0231311176893004,0.0882902760447471,0.0177262522196929,0.00397232427593667,0.00239113333489108,0.245610379246248,0.495408342363069,0.0217969270555017,"./countfiles//inv2.csv","inv2"
"56","PBANKA_135570",0.391580661972746,0.053824437257217,0.0277255647880603,0.0059195873924845,0.0085584420495159,1.22905027932961,0.02473561095958,0.00706438412032892,0.0269643876464507,0.00220600314472789,0.000372988194923631,0.000101253203106137,0.123689048921953,0.65947227502354,0.0043541077047915,"./countfiles//inv2.csv","inv2"
"57","PBANKA_140160",0.598990254137468,0.0073503227777132,0.659383818621778,0.126521857594435,0.203541325242659,1.30353817504655,0.588275179789824,0.168008861607736,0.641281107491496,0.00520209961434059,0.00713351656526267,0.00260142844903459,0.499993131097027,0.69798737717791,0.00461799302023341,"./countfiles//inv2.csv","inv2"
"58","PBANKA_112010",0.90482804960317,0.00550717487140945,0.63373859237937,0.194769434932734,0.195625050702531,2.05214152700186,0.565395561497042,0.161474541011781,0.616339944814839,0.00469362371218699,0.00544997533416336,0.0051872794822067,0.819137327651807,0.990518771554534,0.00727004044042459,"./countfiles//inv2.csv","inv2"
"59","PBANKA_080450",0.269978714140394,0.190492469866563,NA,0.0176835188166902,NA,0.340782122905028,NA,NA,NA,0.00240939350558932,NA,NA,-0.233995451687661,0.773952879968449,0.00120727531814673,"./countfiles//inv2.csv","inv2"
"60","PBANKA_100250",0.978314588535777,0.00424997249252666,2.34149735907653,0.746103348684991,0.722783092425256,2.3072625698324,2.08898784135655,0.596605944286324,2.27721393399601,0.00950458801717866,0.0196098543481099,0.021855114455063,0.903037566875542,1.05359161019601,0.00817384764581313,"./countfiles//inv2.csv","inv2"
"61","PBANKA_131420",0.951478292654949,0.00406810121467527,1.10069671331563,0.307454632536988,0.339767615448583,1.98510242085661,0.981996431567325,0.280453958008954,1.07047820615716,0.00520992232052756,0.0101515888401022,0.00881681737816514,0.877829565898132,1.02512701941177,0.00703254365652687,"./countfiles//inv2.csv","inv2"
"62","PBANKA_144720",0.780755752260067,0.0238006125196793,0.461886192250394,0.159288932469304,0.142576940814886,2.06145251396648,0.412075903464646,0.117687105993167,0.449205577292551,0.0110925973731353,0.00434970237075904,0.00340366536595244,0.602614937099029,0.958896567421105,0.00730302610485483,"./countfiles//inv2.csv","inv2"
"63","PBANKA_090610",0.787606222923262,0.00554434120721851,1.11164939371861,0.277771069507139,0.343148534150593,1.72253258845438,0.991767963490427,0.283244665505998,1.08113019187543,0.00815125984683141,0.0109005799966431,0.0100240671075075,0.701626836190406,0.873585609656118,0.00610234791959414,"./countfiles//inv2.csv","inv2"
"64","PBANKA_050720",1.02701667637437,0.00295355534493605,1.39613692204227,0.469341995064672,0.430965321421832,2.89571694599628,1.24557605999842,0.355731166426143,1.35780740487141,0.0116714776309717,0.0187619445567071,0.0176024799246053,0.964262602456825,1.0897707502919,0.0102585416378042,"./countfiles//inv2.csv","inv2"
